date,new,deleted,changed,number_of_datasets,number_of_organizations,number_of_users,date,date_week
2014-W13,168,4,167,,,,,
2014-W14,5,23,90,,,,,
2014-W15,1,0,103,,,,,
2014-W16,0,0,85,,,,,
2014-W17,63,0,18,,,,,
2014-W18,2,0,37,,,,,
2014-W19,749,2,10100,,,,,
2014-W20,9,22,3758,1020,10,32,5/25/14,2014-W20
2014-W21,0,4,26,1017,14,40,6/1/14,2014-W21
2014-W22,176,0,121,1193,18,51,6/8/14,2014-W22
2014-W23,2,2,19,1190,18,49,6/15/14,2014-W23
2014-W24,3,2,3,1192,19,53,6/22/14,2014-W24
2014-W25,12,7,42,1197,21,57,6/29/14,2014-W25
2014-W26,1,1,14,1201,21,58,7/6/14,2014-W26
2014-W27,4,28,1105,1174,16,64,7/13/14,2014-W27
2014-W28,148,3,287,1326,28,164,7/20/14,2014-W28
2014-W29,0,0,152,1326,30,197,7/27/14,2014-W29
2014-W30,0,0,42,1326,32,217,8/3/14,2014-W30
2014-W31,2,0,16,1328,35,234,8/10/14,2014-W31
2014-W32,3,1,25,1331,39,250,8/17/14,2014-W32
2014-W33,0,0,5,1331,40,261,8/24/14,2014-W33
2014-W34,1,0,19,1331,41,267,8/31/14,2014-W34
2014-W35,6,0,244,1337,42,277,9/7/14,2014-W35
2014-W36,0,1,24,1340,46,287,9/14/14,2014-W36
2014-W37,4,2,37,1344,48,302,9/21/14,2014-W37
2014-W38,0,30,405,1318,53,314,9/28/14,2014-W38
2014-W39,8,1,54,1323,57,338,10/5/14,2014-W39
2014-W40,1,0,22,1326,58,357,10/12/14,2014-W40
2014-W41,3,10,40,1320,61,378,10/19/14,2014-W41
2014-W42,8,32,237,1332,65,402,10/26/14,2014-W42
2014-W43,5,0,81,1341,65,431,11/2/14,2014-W43
2014-W44,6,3,84,1345,71,471,11/9/14,2014-W44
2014-W45,5,1,84,1351,74,516,11/16/14,2014-W45
2014-W46,15,1,106,1318,77,553,11/23/14,2014-W46
2014-W47,9,3,135,1326,79,587,11/30/14,2014-W47
2014-W48,13,0,111,1347,81,626,12/7/14,2014-W48
2014-W49,5,1,124,1357,89,688,12/14/14,2014-W49
2014-W50,2,0,94,1358,90,721,12/21/14,2014-W50
2014-W51,1,1,66,1357,92,734,12/28/14,2014-W51
2014-W52,1,0,45,1358,92,747,12/31/14,2014-W52
2015-W00,0,0,3,1358,92,752,1/4/15,2015-W00
2015-W01,2,0,67,1369,96,770,1/11/15,2015-W01
2015-W02,7,5,116,1375,99,785,1/18/15,2015-W02
2015-W03,7,2,280,1409,102,818,1/25/15,2015-W03
2015-W04,11,1,67,1419,102,842,2/1/15,2015-W04
2015-W05,1,0,45,1423,103,858,2/8/15,2015-W05
,,,,1423,103,859,2/9/15,2015-W06
