number_of_datasets,number_of_organizations,number_of_users,date
1017,9,31,2014-05-23
1017,10,32,2014-05-24
1020,10,32,2014-05-25
1020,10,32,2014-05-26
1020,10,33,2014-05-27
1019,12,36,2014-05-28
1016,12,37,2014-05-29
1016,12,37,2014-05-30
1017,12,37,2014-05-31
1017,14,40,2014-06-01
1017,15,46,2014-06-02
1190,15,46,2014-06-03
1190,16,47,2014-06-04
1191,18,50,2014-06-05
1191,18,50,2014-06-05
1191,18,50,2014-06-06
1193,18,51,2014-06-07
1193,18,51,2014-06-08
1193,18,52,2014-06-09
1193,18,53,2014-06-10
1194,18,54,2014-06-11
1195,18,49,2014-06-12
1193,18,49,2014-06-13
1190,18,49,2014-06-14
1190,18,49,2014-06-15
1190,18,49,2014-06-16
1191,18,50,2014-06-17
1191,18,51,2014-06-18
1191,18,51,2014-06-19
1192,19,52,2014-06-20
1192,19,53,2014-06-21
1192,19,53,2014-06-22
1192,19,53,2014-06-23
1192,19,53,2014-06-24
1192,20,53,2014-06-25
1194,21,54,2014-06-26
1197,21,57,2014-06-27
1200,21,57,2014-06-28
1197,21,57,2014-06-29
1197,21,57,2014-06-30
1197,21,57,2014-07-01
1197,21,57,2014-07-02
1197,21,57,2014-07-03
1201,21,58,2014-07-04
1201,21,58,2014-07-05
1201,21,58,2014-07-06
1201,21,58,2014-07-07
1192,22,61,2014-07-08
1192,20,61,2014-07-09
1189,20,62,2014-07-10
1175,20,63,2014-07-11
1174,16,64,2014-07-12
1174,16,64,2014-07-13
1174,16,64,2014-07-14
1309,21,65,2014-07-15
1325,22,79,2014-07-15
1325,22,90,2014-07-16
1325,22,92,2014-07-16
1325,25,108,2014-07-16
1326,26,122,2014-07-17
1326,28,150,2014-07-18
1326,28,156,2014-07-19
1326,28,164,2014-07-20
1326,29,170,2014-07-21
1326,29,182,2014-07-22
1326,29,188,2014-07-23
1326,30,195,2014-07-24
1326,30,195,2014-07-25
1326,30,196,2014-07-26
1326,30,197,2014-07-27
1326,30,197,2014-07-28
1326,32,204,2014-07-29
1326,32,207,2014-07-30
1326,32,212,2014-07-31
1326,32,214,2014-08-01
1326,32,216,2014-08-02
1326,32,217,2014-08-03
1326,32,219,2014-08-04
1327,34,219,2014-08-05
1327,34,223,2014-08-06
1327,35,229,2014-08-07
1328,35,234,2014-08-08
1328,35,234,2014-08-09
1328,35,234,2014-08-10
1328,35,235,2014-08-11
1328,35,236,2014-08-12
1329,36,238,2014-08-13
1329,36,244,2014-08-14
1330,37,248,2014-08-15
1331,39,250,2014-08-16
1331,39,250,2014-08-17
1331,39,250,2014-08-18
1331,40,255,2014-08-19
