"number_of_datasets","number_of_organizations","number_of_users","date","date_week"
1020,10,32,"2014-05-25","2014-W20"
1017,14,40,"2014-06-01","2014-W21"
1193,18,51,"2014-06-08","2014-W22"
1190,18,49,"2014-06-15","2014-W23"
1192,19,53,"2014-06-22","2014-W24"
1197,21,57,"2014-06-29","2014-W25"
1201,21,58,"2014-07-06","2014-W26"
1174,16,64,"2014-07-13","2014-W27"
1326,28,164,"2014-07-20","2014-W28"
1326,30,197,"2014-07-27","2014-W29"
1326,32,217,"2014-08-03","2014-W30"
1328,35,234,"2014-08-10","2014-W31"
1331,39,250,"2014-08-17","2014-W32"
1331,40,261,"2014-08-24","2014-W33"
1331,41,267,"2014-08-31","2014-W34"
1337,42,277,"2014-09-07","2014-W35"
1340,46,287,"2014-09-14","2014-W36"
1344,48,302,"2014-09-21","2014-W37"
1318,53,314,"2014-09-28","2014-W38"
1323,57,338,"2014-10-05","2014-W39"
1326,58,357,"2014-10-12","2014-W40"
1320,61,378,"2014-10-19","2014-W41"
1332,65,402,"2014-10-26","2014-W42"
1341,65,431,"2014-11-02","2014-W43"
1345,71,471,"2014-11-09","2014-W44"
1351,74,516,"2014-11-16","2014-W45"
1318,77,553,"2014-11-23","2014-W46"
1326,79,587,"2014-11-30","2014-W47"
1347,81,626,"2014-12-07","2014-W48"
1357,89,688,"2014-12-14","2014-W49"
1358,90,721,"2014-12-21","2014-W50"
1357,92,734,"2014-12-28","2014-W51"
1358,92,747,"2014-12-31","2014-W52"
1358,92,752,"2015-01-04","2015-W00"
1369,96,770,"2015-01-11","2015-W01"
1375,99,785,"2015-01-18","2015-W02"
1409,102,818,"2015-01-25","2015-W03"
1419,102,842,"2015-02-01","2015-W04"
1423,103,858,"2015-02-08","2015-W05"
1423,103,859,"2015-02-09","2015-W06"
