# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20140101-20140416
# ----------------------------------------

Day Index,Visits
1/1/14,0
1/2/14,0
1/3/14,0
1/4/14,0
1/5/14,0
1/6/14,0
1/7/14,0
1/8/14,0
1/9/14,0
1/10/14,0
1/11/14,0
1/12/14,0
1/13/14,0
1/14/14,0
1/15/14,0
1/16/14,0
1/17/14,0
1/18/14,0
1/19/14,0
1/20/14,0
1/21/14,0
1/22/14,0
1/23/14,0
1/24/14,0
1/25/14,0
1/26/14,0
1/27/14,0
1/28/14,0
1/29/14,0
1/30/14,0
1/31/14,0
2/1/14,0
2/2/14,0
2/3/14,0
2/4/14,0
2/5/14,0
2/6/14,0
2/7/14,0
2/8/14,0
2/9/14,0
2/10/14,0
2/11/14,0
2/12/14,0
2/13/14,0
2/14/14,0
2/15/14,0
2/16/14,0
2/17/14,0
2/18/14,0
2/19/14,0
2/20/14,0
2/21/14,0
2/22/14,0
2/23/14,0
2/24/14,0
2/25/14,57
2/26/14,341
2/27/14,432
2/28/14,397
3/1/14,118
3/2/14,163
3/3/14,199
3/4/14,108
3/5/14,114
3/6/14,82
3/7/14,82
3/8/14,42
3/9/14,60
3/10/14,89
3/11/14,132
3/12/14,132
3/13/14,140
3/14/14,80
3/15/14,27
3/16/14,29
3/17/14,71
3/18/14,71
3/19/14,110
3/20/14,86
3/21/14,65
3/22/14,24
3/23/14,27
3/24/14,50
3/25/14,28
3/26/14,89
3/27/14,96
3/28/14,46
3/29/14,15
3/30/14,20
3/31/14,39
4/1/14,32
4/2/14,53
4/3/14,39
4/4/14,29
4/5/14,10
4/6/14,19
4/7/14,31
4/8/14,89
4/9/14,47
4/10/14,36
4/11/14,20
4/12/14,14
4/13/14,21
4/14/14,30
4/15/14,50
4/16/14,15
,"4,196"

