# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20140404-20140504
# ----------------------------------------

Day Index,Sessions
4/4/14,29
4/5/14,10
4/6/14,19
4/7/14,31
4/8/14,89
4/9/14,47
4/10/14,36
4/11/14,20
4/12/14,14
4/13/14,21
4/14/14,30
4/15/14,50
4/16/14,35
4/17/14,39
4/18/14,17
4/19/14,6
4/20/14,10
4/21/14,31
4/22/14,40
4/23/14,33
4/24/14,31
4/25/14,16
4/26/14,5
4/27/14,14
4/28/14,57
4/29/14,114
4/30/14,56
5/1/14,19
5/2/14,20
5/3/14,14
5/4/14,12
,965

