Last Week Day,Week,Number of Datasets,Number of Organizations,Number of Registered Users,Datasets Created,Datasets Deleted,Datasets Edited,Number of New Registered Users,Number of New Organizations,Number of New Datasets,MailChimp Campaign,Unique Visitors,Unique Sessions,Total Events,Number of Downloads,Number of Previews,Number of Shares,Number of Dataset Shares,Average Session Duration,Total Unique Events,Unique Downloads,Unique Previews,Unique Shares,Unique Dataset Shares,User Register,Bounce Rate,Tweets,Twitter Followers,Twitter Following,Conversion Visitors to Download,Conversation Visitors to Register,Conversition Visitors to Share
2015-12-27,2015-W52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-20,2015-W51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-13,2015-W50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-06,2015-W49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-29,2015-W48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-22,2015-W47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-15,2015-W46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-08,2015-W45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,2015-W44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-25,2015-W43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-18,2015-W42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-11,2015-W41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-04,2015-W40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-27,2015-W39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-20,2015-W38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-13,2015-W37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-06,2015-W36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-30,2015-W35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-23,2015-W34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,2015-W33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-09,2015-W32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-02,2015-W31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-26,2015-W30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,2015-W29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,2015-W28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,2015-W27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28,2015-W26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,2015-W25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,2015-W24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,2015-W23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,2015-W22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-24,2015-W21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-17,2015-W20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-10,2015-W19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-03,2015-W18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-26,2015-W17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-19,2015-W16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-12,2015-W15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-05,2015-W14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-29,2015-W13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-22,2015-W12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-15,2015-W11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-08,2015-W10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,2015-W09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,2015-W08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-15,2015-W07,1423,103,859,6,1,315,433,1,3,,1835,3169,1935,1045,483,24,383,0:05:24,657,480,286,21,64,67,38.43%,686,2313,459,26.16%,3.65%,3.49%
2015-02-08,2015-W06,1420,102,843,1,0,45,426,0,11,,2009,3471,2823,2067,598,37,121,0:06:07,937,710,379,29,66,43,35.75%,677,2305,457,35.34%,2.14%,3.29%
2015-02-01,2015-W05,1409,102,818,11,1,67,417,3,34,,1424,2274,1295,721,401,20,153,0:05:19,544,352,236,20,60,66,37.38%,654,2282,456,24.72%,4.63%,4.21%
2015-01-25,2015-W04,1375,99,787,7,2,280,401,3,6,,1445,2430,1552,747,481,22,302,0:06:47,494,315,235,18,77,44,38.02%,638,2254,453,21.80%,3.04%,5.33%
2015-01-18,2015-W03,1369,96,770,7,5,116,386,4,11,,1405,2409,1271,675,443,28,125,0:05:30,497,348,225,17,51,3,38.27%,628,2231,448,24.77%,0.21%,3.63%
2015-01-11,2015-W02,1358,92,753,2,0,67,384,0,0,,1376,2272,1131,730,294,11,96,0:04:43,484,356,189,10,46,8,40.10%,603,2198,441,25.87%,0.58%,3.34%
2015-01-04,2015-W01,1358,92,749,0,0,3,369,2,0,,924,1360,644,418,173,18,35,0:03:46,250,181,117,15,17,0,44.12%,589,2173,433,19.59%,0.00%,1.84%
2014-12-28,2014-W52,1358,90,723,1,1,66,380,1,1,,777,1286,768,464,206,9,89,0:05:01,266,195,116,9,23,16,44.01%,,,,25.10%,2.06%,2.96%
