Last Week Day,Date,Number of Datasets,Number of Organizations,Number of Registered Users,Datasets Created,Datasets Deleted,Datasets Edited,Number of New Users,Number of New Organizations,Number of New Datasets,MailChimp Campaign,Unique Visitors,Total Events,Number of Downloads,Number of Previews,Number of Shares,Number of Dataset Shares,Average Session Duration,Total Unique Events,Unique Previews,Unique Downloads,Unique Shares,Bounce Rate,Tweets,Twitter Followers,Twitter Following
2/5/15,2015-W05,1419,102,842,11,1,67,24,0,10,FALSE,1039,910,598,231,14,77,0:05:04,364,246,142,12,35.69%,646,2270,455
2/1/15,2015-W04,1409,102,818,7,2,280,33,3,34,FALSE,1424,1221,721,401,20,153,0:05:19,544,352,236,20,37.38%,638,2254,453
1/25/15,2015-W03,1375,99,785,7,5,116,15,3,6,TRUE,1445,1364,747,481,22,302,0:06:47,494,315,235,18,38.02%,628,2231,448
1/18/15,2015-W02,1369,96,770,2,0,67,18,4,11,FALSE,1405,1253,675,443,28,125,0:05:30,497,348,225,17,38.27%,603,2198,441
1/11/15,2015-W01,1358,92,752,0,0,3,5,0,0,FALSE,1376,1151,730,294,11,96,0:04:43,484,356,189,10,40.10%,589,2173,433
1/4/15,2015-W00,1358,92,747,1,0,45,13,0,1,FALSE,924,663,418,173,18,35,0:03:46,250,181,117,15,44.12%,,,
12/31/14,2014-W52,1357,92,734,1,1,66,13,2,-1,FALSE,777,751,464,206,9,89,0:05:01,266,195,116,9,44.01%,,,
12/28/14,2014-W51,1358,90,721,2,0,94,33,1,1,FALSE,1668,1537,944,483,30,129,0:04:49,583,419,244,26,43.04%,,,
12/21/14,2014-W50,1357,89,688,5,1,124,62,8,10,TRUE,1910,2094,1232,658,44,157,0:05:29,758,535,356,40,38.87%,,,
12/14/14,2014-W49,1347,81,626,13,0,111,39,2,21,FALSE,2073,1708,1003,519,41,138,0:04:28,678,486,284,32,41.58%,,,
12/7/14,2014-W48,1326,79,587,9,3,135,34,2,8,FALSE,2333,1749,1090,470,34,168,0:04:03,715,512,307,30,49.47%,490,2032,390
11/30/14,2014-W47,1318,77,553,15,1,106,37,3,-33,FALSE,2581,2141,1339,562,43,185,0:04:12,892,655,347,39,44.25%,472,2009,382
11/23/14,2014-W46,1351,74,516,5,1,84,45,3,6,FALSE,2510,1945,1197,565,38,182,0:04:34,848,607,357,35,44.49%,,,
11/16/14,2014-W45,1345,71,471,6,3,84,40,6,4,TRUE,1527,968,639,246,20,127,0:04:56,480,336,156,19,36.83%,443,1873,377
11/9/14,2014-W44,1341,65,431,5,0,81,29,0,9,FALSE,1483,23,6,6,7,13,0:03:52,3,2,2,2,41.98%,,,
11/2/14,2014-W43,1332,65,402,8,32,237,24,4,12,FALSE,2601,0,0,0,0,0,0:03:19,0,0,0,0,46.75%,397,1793,360
10/26/14,2014-W42,1320,61,378,3,10,40,21,3,-6,TRUE,1468,0,0,0,0,0,0:04:23,0,0,0,0,38.06%,,,
10/19/14,2014-W41,1326,58,357,1,0,22,19,1,3,TRUE,781,0,0,0,0,0,0:04:14,0,0,0,0,37.85%,338,1488,322
10/12/14,2014-W40,1323,57,338,8,1,54,24,4,5,TRUE,689,0,0,0,0,0,0:05:00,0,0,0,0,37.06%,,,
10/5/14,2014-W39,1318,53,314,0,30,405,12,5,-26,FALSE,547,0,0,0,0,0,0:05:31,0,0,0,0,37.41%,297,1435,290
9/28/14,2014-W38,1344,48,302,4,2,37,15,2,4,TRUE,422,0,0,0,0,0,0:05:09,0,0,0,0,33.93%,,,
9/21/14,2014-W37,1340,46,287,0,1,24,10,4,3,TRUE,375,0,0,0,0,0,0:05:54,0,0,0,0,31.41%,268,1364,267
9/14/14,2014-W36,1337,42,277,6,0,244,10,1,6,FALSE,349,0,0,0,0,0,0:04:44,0,0,0,0,30.73%,,,
9/7/14,2014-W35,1331,41,267,1,0,19,6,1,0,FALSE,398,0,0,0,0,0,0:04:09,0,0,0,0,26.94%,243,1339,270
8/31/14,2014-W34,1331,40,261,0,0,5,11,1,0,FALSE,334,0,0,0,0,0,0:03:52,0,0,0,0,29.82%,,,
8/24/14,2014-W33,1331,39,250,3,1,25,16,4,3,TRUE,492,0,0,0,0,0,0:03:52,0,0,0,0,27.63%,,,
8/17/14,2014-W32,1328,35,234,2,0,16,17,3,2,FALSE,504,0,0,0,0,0,0:04:17,0,0,0,0,32.04%,,,
8/10/14,2014-W31,1326,32,217,0,0,42,20,2,0,FALSE,689,0,0,0,0,0,0:04:21,0,0,0,0,32.06%,210,1242,268
8/3/14,2014-W30,1326,30,197,0,0,152,33,2,0,TRUE,1241,0,0,0,0,0,0:03:41,0,0,0,0,31.45%,197,1183,262
7/27/14,2014-W29,1326,28,164,148,3,287,100,12,152,FALSE,2766,0,0,0,0,0,0:03:40,0,0,0,0,25.97%,189,1115,255
7/20/14,2014-W28,1174,16,64,4,28,1105,6,-5,-27,TRUE,89,0,0,0,0,0,0:20:19,0,0,0,0,13.27%,188,952,257
7/13/14,2014-W27,1201,21,58,1,1,14,1,0,4,FALSE,57,0,0,0,0,0,0:19:18,0,0,0,0,18.52%,,,
7/6/14,2014-W26,1197,21,57,12,7,42,4,2,5,FALSE,82,0,0,0,0,0,0:16:51,0,0,0,0,16.22%,,609,211
6/29/14,2014-W25,1192,19,53,3,2,3,4,1,2,FALSE,59,0,0,0,0,0,0:11:42,0,0,0,0,17.20%,,,
6/22/14,2014-W24,1190,18,49,2,2,19,-2,0,-3,TRUE,58,0,0,0,0,0,0:17:39,0,0,0,0,15.24%,,591,203
6/15/14,2014-W23,1193,18,51,176,0,121,11,4,176,FALSE,75,0,0,0,0,0,0:13:02,0,0,0,0,26.92%,,,
6/8/14,2014-W22,1017,14,40,0,4,26,8,4,-3,FALSE,61,0,0,0,0,0,0:14:36,0,0,0,0,16.42%,,574,123
6/1/14,2014-W21,,,,,,,,,,TRUE,60,0,0,0,0,0,0:14:10,0,0,0,0,21.91%,,549,232
5/25/14,2014-W20,,,,,,,,,,FALSE,,,,,,,,,,,,,,521,218
