"Week","MailChimp Campaign"
"2015-W04",TRUE
"2014-W51",TRUE
"2014-W46",TRUE
"2014-W46",TRUE
"2014-W43",TRUE
"2014-W42",TRUE
"2014-W41",TRUE
"2014-W39",TRUE
"2014-W38",TRUE
"2014-W34",TRUE
"2014-W31",TRUE
"2014-W29",TRUE
"2014-W29",TRUE
"2014-W25",TRUE
"2014-W22",TRUE
"2014-W20",TRUE
"2014-W18",TRUE
"2014-W15",TRUE
"2014-W13",TRUE
"2014-W12",TRUE
"2014-W11",TRUE
"2014-W09",TRUE
"2015-W04",TRUE
"2014-W51",TRUE
"2014-W46",TRUE
"2014-W46",TRUE
"2014-W43",TRUE
"2014-W42",TRUE
"2014-W41",TRUE
"2014-W39",TRUE
"2014-W38",TRUE
"2014-W34",TRUE
"2014-W31",TRUE
"2014-W29",TRUE
"2014-W29",TRUE
"2014-W25",TRUE
"2014-W22",TRUE
"2014-W20",TRUE
"2014-W18",TRUE
"2014-W15",TRUE
"2014-W13",TRUE
"2014-W12",TRUE
"2014-W11",TRUE
"2014-W09",TRUE
