"Number of Tweets","Number of Followers","Number Following","Week"
188,952,257,"2014-W28"
NA,410,8,"2014-W15"
NA,431,9,"2014-W16"
NA,574,123,"2014-W22"
NA,591,203,"2014-W24"
NA,609,211,"2014-W26"
NA,521,218,"2014-W20"
NA,549,232,"2014-W21"
NA,410,8,"2014-W18"
189,1115,255,"2014-W29"
197,1183,262,"2014-W30"
210,1242,268,"2014-W31"
243,1339,270,"2014-W35"
268,1364,267,"2014-W37"
297,1435,290,"2014-W39"
338,1488,322,"2014-W41"
397,1793,360,"2014-W43"
443,1873,377,"2014-W45"
472,2009,382,"2014-W47"
490,2032,390,"2014-W48"
589,2173,433,"2015-W01"
603,2198,441,"2015-W02"
628,2231,448,"2015-W03"
638,2254,453,"2015-W04"
654,2282,456,"2015-W05"
677,2305,457,"2015-W06"
686,2313,459,"2015-W07"
