"","tweets","followers","favorites","following","date"
"1",188,952,28,257,"2014-07-18"
"3",NA,410,NA,8,"2014-04-16"
"4",NA,431,NA,9,"2014-04-25"
"5",NA,574,NA,123,"2014-06-06"
"6",NA,580,NA,138,"2014-06-16"
"7",NA,591,NA,203,"2014-06-20"
"8",NA,609,NA,211,"2014-06-30"
"9",NA,521,NA,218,"2014-05-23"
"10",NA,549,NA,232,"2014-05-30"
"11",NA,410,NA,8,"2014-05-05"
"12",189,1115,28,255,"2014-07-21"
"13",197,1183,35,262,"2014-07-28"
"15",210,1242,36,268,"2014-08-05"
"16",243,1339,42,270,"2014-09-02"
"17",268,1364,47,267,"2014-09-15"
"18",297,1435,56,290,"2014-09-29"
"20",338,1488,70,322,"2014-10-13"
"21",397,1793,90,360,"2014-10-29"
"23",443,1873,119,377,"2014-11-11"
"24",472,2009,168,382,"2014-11-25"
"25",490,2032,177,390,"2014-12-02"
