id,batch,name,screen_name,profile_url,profile_image,description,location,url,followers_count,following_count,statuses_count,created_at
14434070,1,NYTimes Bits,nytimesbits,https://twitter.com/nytimesbits,https://pbs.twimg.com/profile_images/2078138859/NYT_Twitter_bits_normal.png,"Tech news and analysis, plus interesting links and retweets from Times tech staff and friends.",,http://t.co/XaZCeioBAC,171332,148,15473,2008-04-18 15:19:26+00:00
819800,1,CNET News,CNETNews,https://twitter.com/CNETNews,https://pbs.twimg.com/profile_images/1580505142/News_normal.jpg,Follow CNET News for all the latest tech news.,"San Francisco, CA",http://t.co/dw0Mm46abG,345623,240,60793,2007-03-07 22:24:21+00:00
816653,1,TechCrunch,TechCrunch,https://twitter.com/TechCrunch,https://pbs.twimg.com/profile_images/2176846885/-5-1_normal.jpeg,Breaking Technology News And Opinions From TechCrunch,Silicon Valley,http://t.co/FQzFJNIg8e,3450983,843,71039,2007-03-07 01:27:09+00:00
2893971,1,Gigaom,gigaom,https://twitter.com/gigaom,https://pbs.twimg.com/profile_images/378800000637263364/67e68ccdfc5de8293db6f2dec37aabdf_normal.png,Gigaom is the leading independent voice on emerging technologies and the disruption of media.,"San Francisco, California",http://t.co/F5zIUSmck1,223065,46,47351,2007-03-29 21:05:08+00:00
60642052,1,VentureBeat,VentureBeat,https://twitter.com/VentureBeat,https://pbs.twimg.com/profile_images/1818169678/VB_twitter_logo_normal.jpg,Tech. People. Money. We bring you news on what matters in the tech business world.,San Francisco,http://t.co/vnablqd9D1,271605,1420,43322,2009-07-27 16:34:47+00:00
717313,1,Ars Technica,arstechnica,https://twitter.com/arstechnica,https://pbs.twimg.com/profile_images/2215576731/ars-logo_normal.png,"Original news and reviews, analysis of tech trends, and expert advice on the most fundamental aspects of tech and the many ways it's helping us enjoy our world.",NYC - Boston - Chicago - SF,http://t.co/LH2xDvElLR,661285,131,48818,2007-01-28 01:58:49+00:00
10876852,1,The Next Web,TheNextWeb,https://twitter.com/TheNextWeb,https://pbs.twimg.com/profile_images/378800000147133877/895fa7d3daeed8d32b7c089d9b3e976e_normal.png,"International news on technology, business and culture. Follow specific channels in our Twitter lists.  Find us on Facebook:  http://t.co/pcgAUcQggv",The Interwebs.,http://t.co/BV4ajjxry7,1071179,1100,62000,2007-12-05 17:26:15+00:00
1344951,1,WIRED,WIRED,https://twitter.com/WIRED,https://pbs.twimg.com/profile_images/378800000703426078/f0e0491c473589ad484d976ca45d712b_normal.png,WIRED is where tomorrow is realized.,San Francisco/New York,http://t.co/AbRkBRjcYo,2759337,351,30628,2007-03-17 09:57:25+00:00
756278,1,Chris Pirillo,ChrisPirillo,https://twitter.com/ChrisPirillo,https://pbs.twimg.com/profile_images/2611249528/h6jnw0fi4him8qfhdxby_normal.png,"Geek Culture Cultivator & Lifestyle Enabler. Educator, Entertainer, Entrepreneur. Expert in being myself.
http://t.co/PXV2Pq9a8A / chris@pirillo.com","Seattle, WA",http://t.co/zDIREljyyo,134634,2029,77017,2007-02-07 20:01:06+00:00
11009852,1,Ben Parr,benparr,https://twitter.com/benparr,https://pbs.twimg.com/profile_images/437001186122534912/Lhn2IMJZ_normal.jpeg,"I'm an investor, author, columnist & whiskey lover. | Co-founder: @DominateFund; Author: @Captivology (HarperCollins/2015). Alum: Mashable, CNET.",San Francisco/Silicon Valley,http://t.co/bXKqIPYSgh,59536,1845,31205,2007-12-10 04:33:05+00:00
1422311,1,Peter Rojas,peterrojas,https://twitter.com/peterrojas,https://pbs.twimg.com/profile_images/3515612365/ed8754f358e7bd114b515de23fa0e2b7_normal.jpeg,Stop me before I start another gadget site.,10002,http://t.co/CdNIr4ZE4C,32360,341,10429,2007-03-18 15:49:44+00:00
808627,1,Steven Levy,StevenLevy,https://twitter.com/StevenLevy,https://pbs.twimg.com/profile_images/25648092/eye_normal.jpg,I'm writing as fast as I can.,New York City,http://t.co/g3CMRYEZJH,76959,562,4305,2007-03-03 16:34:51+00:00
12798452,1,Erick Schonfeld,erickschonfeld,https://twitter.com/erickschonfeld,https://pbs.twimg.com/profile_images/378800000643795339/bb53bcb73b246c01fc89c8803e867c34_normal.png,"Co-founder TouchCast, executive producer DEMO",New York,http://t.co/hgqJUi4SX3,73116,1110,18173,2008-01-28 20:10:24+00:00
17595439,1,Chris Anderson,chr1sa,https://twitter.com/chr1sa,https://pbs.twimg.com/profile_images/378800000034395983/18ce4b3eb08868f444a2596942dcb7af_normal.jpeg,"3D Robotics CEO, DIY Drones, ex Wired EIC, Long Tail, FREE, Makers, GeekDad, etc. And five great kids who put up with it all.
(Profile photo by Joi Ito)",Berkeley,http://t.co/IuFPNN3M70,134553,814,4683,2008-11-24 16:57:51+00:00
11666142,1,Joshua Topolsky,joshuatopolsky,https://twitter.com/joshuatopolsky,https://pbs.twimg.com/profile_images/2928977318/71923b60c9037878b3cfd23ec729eb4d_normal.jpeg,"Editor-in-chief of The Verge, reformed producer, lover of creepy movies.","Brooklyn, NY.",http://t.co/8T2beWJyhJ,135753,652,19001,2007-12-30 19:46:39+00:00
5763262,1,Kara Swisher,karaswisher,https://twitter.com/karaswisher,https://pbs.twimg.com/profile_images/428212477646487552/VDm2yv7S_normal.jpeg,Re/code Co-Executive Editor and Longtime Disgruntled Housewife,San Francisco,http://t.co/QtNr5qQEsH,941120,933,52857,2007-05-04 10:32:22+00:00
50393960,1,Bill Gates,BillGates,https://twitter.com/BillGates,https://pbs.twimg.com/profile_images/1884069342/BGtwitter_normal.JPG,Sharing things I'm learning through my foundation work and other interests...,"Seattle, WA",http://t.co/W7T8IITkPe,15630864,164,1237,2009-06-24 18:44:10+00:00
