id,batch,name,screen_name,profile_url,profile_image,description,location,url,time_zone,followers_count,following_count,statuses_count,verified,created_at
14445325,1,betaworks,betaworks,https://twitter.com/betaworks,https://pbs.twimg.com/profile_images/464498657421570048/Owb_s9zy_normal.png,We build and invest in great companies.,NYC,http://t.co/bgt9oQ14nt,Quito,13696,353,1542,0,2008-04-19 18:12:24+00:00
17925320,1,OpenStreetMap,openstreetmap,https://twitter.com/openstreetmap,https://pbs.twimg.com/profile_images/1332105692/OSM_fixed_512_normal.png,OpenStreetMap is the free editable map of the whole world. It is made by people like you.,everywhere,http://t.co/1EAqW1BJqT,London,23997,69,1103,0,2008-12-06 17:41:16+00:00
1494655406,1,Wired Map Lab,wiredmaps,https://twitter.com/wiredmaps,https://pbs.twimg.com/profile_images/3774788839/361b278473ffb53d561400349de59b01_normal.jpeg,Wired's blog all about maps and mapmaking. Learn how to make maps along with @betsymason and @dosmonos.,San Francisco,http://t.co/h3TCwafaPg,Arizona,3423,332,479,0,2013-06-09 04:43:14+00:00
16447675,1,Rabih Torbay-IMC,rtorbay,https://twitter.com/rtorbay,https://pbs.twimg.com/profile_images/433281710315159552/bjYiKt1a_normal.jpeg,"Vice President, int'l ops","Washington, D.C",https://t.co/FB5amUZeBl,,94,145,46,0,2008-09-25 06:16:30+00:00
86862517,1,Neil Blumenthal,NeilBlumenthal,https://twitter.com/NeilBlumenthal,https://pbs.twimg.com/profile_images/456901168359145472/kaCpuc0k_normal.jpeg,"Loves helping people see - co-founder & co-ceo of @WarbyParker, former director of @VisionSpring, husband of @CricketsCircle",NYC (and often other places),http://t.co/8Wd1EFzjTb,Eastern Time (US & Canada),8158,301,2013,0,2009-11-02 03:19:13+00:00
1216627195,1,StartupBus NYC,StartupBusNYC,https://twitter.com/StartupBusNYC,https://pbs.twimg.com/profile_images/3303564006/279fb9e8b5d30fc36dd4728dbdf3bcb8_normal.png,"Conceive, build & launch a startup in 72 hours on a speeding bus!  Tweets by @jonmarkgo @pinzler @helloaliceng @NateCooper",NYC,http://t.co/nCiekJdf81,,490,40,380,0,2013-02-24 21:36:46+00:00
1240529294,1,Exversion,exversiondata,https://twitter.com/exversiondata,https://pbs.twimg.com/profile_images/3347080192/d5c8f098099655168e9edd3cf36f492f_normal.png,"Access thousands of data sets, consume them in one simple API. Publish small and enterprise data, then collaborate, share and version-control it.",New York,http://t.co/0mqAssxFAk,Atlantic Time (Canada),729,419,226,0,2013-03-04 04:56:19+00:00
362489144,1,Javier Teran,JTeran2000,https://twitter.com/JTeran2000,https://pbs.twimg.com/profile_images/477065153868214272/Wr6w3DJh_normal.jpeg,Statistician. New York. USA.,,,Eastern Time (US & Canada),15,207,44,0,2011-08-26 13:51:04+00:00
24674765,1,PublishWhatYouFund,aidtransparency,https://twitter.com/aidtransparency,https://pbs.twimg.com/profile_images/1154393414/publish5_normal.png,The global campaign for aid transparency,"ÜT: 13.740436,100.536685",http://t.co/McVxuXoGp6,London,9455,838,5727,0,2009-03-16 10:43:50+00:00
95807485,1,Leandro A. Salazar ,TeachaLeo,https://twitter.com/TeachaLeo,https://pbs.twimg.com/profile_images/469516388332093440/kmBuEQC4_normal.jpeg,@UNOCHA Field Information Services. I'm where I want to be at this particular moment. Former @UniSantiagoCali #Education #Negotiations   #Humanitarianism #OHI,"Geneva, Switzerland",,Bern,87,302,709,0,2009-12-10 02:56:59+00:00
